#x y_true y_numerov
4.9401 4.9588e-05 4.9588e-05 
4.94 4.96115e-05 4.96115e-05 
4.9399 4.9635e-05 4.9635e-05 
4.9398 4.96585e-05 4.96585e-05 
4.9397 4.96821e-05 4.96821e-05 
4.9396 4.97056e-05 4.97056e-05 
4.9395 4.97292e-05 4.97292e-05 
4.9394 4.97527e-05 4.97527e-05 
4.9393 4.97763e-05 4.97763e-05 
4.9392 4.97999e-05 4.97999e-05 
4.9391 4.98235e-05 4.98235e-05 
4.939 4.98471e-05 4.98471e-05 
4.9389 4.98707e-05 4.98707e-05 
4.9388 4.98943e-05 4.98943e-05 
4.9387 4.9918e-05 4.9918e-05 
4.9386 4.99416e-05 4.99416e-05 
4.9385 4.99653e-05 4.99653e-05 
4.9384 4.99889e-05 4.99889e-05 
4.9383 5.00126e-05 5.00126e-05 
4.9382 5.00363e-05 5.00363e-05 
4.9381 5.006e-05 5.006e-05 
4.938 5.00837e-05 5.00837e-05 
4.9379 5.01074e-05 5.01074e-05 
4.9378 5.01312e-05 5.01312e-05 
4.9377 5.01549e-05 5.01549e-05 
4.9376 5.01787e-05 5.01787e-05 
4.9375 5.02024e-05 5.02024e-05 
4.9374 5.02262e-05 5.02262e-05 
4.9373 5.025e-05 5.025e-05 
4.9372 5.02738e-05 5.02738e-05 
4.9371 5.02976e-05 5.02976e-05 
4.937 5.03214e-05 5.03214e-05 
4.9369 5.03453e-05 5.03453e-05 
4.9368 5.03691e-05 5.03691e-05 
4.9367 5.0393e-05 5.0393e-05 
4.9366 5.04168e-05 5.04168e-05 
4.9365 5.04407e-05 5.04407e-05 
4.9364 5.04646e-05 5.04646e-05 
